song,artist,album,ms,genres
Maknae On Top (I.N),Stray Kids,SKZ-REPLAY,153452,"k-pop, k-pop boy group, pop"
"Muddy Water (Changbin, Hyunjin, HAN, Felix)",Stray Kids,ODDINARY,197360,"k-pop, k-pop boy group, pop"
SUPER BOARD,Stray Kids,MAXIDENT,185960,"k-pop, k-pop boy group, pop"
DLC,Stray Kids,5-STAR,4804,"k-pop, k-pop boy group, pop"
Give Me Your TMI,Stray Kids,MAXIDENT,3751,"k-pop, k-pop boy group, pop"
I GOT YOU,TWICE,I GOT YOU,173240,"k-pop, k-pop girl group, pop"
I GOT YOU (Instrumental),TWICE,I GOT YOU,9430,"k-pop, k-pop girl group, pop"
MONACO,Bad Bunny,nadie sabe lo que va a pasar mañana,267194,"reggaeton, trap latino, urbano latino"
"yes, and?",Ariana Grande,"yes, and?",211440,pop
"1, 3, 2 (JEONGYEON, MINA, TZUYU)",TWICE,Formula of Love: O+T=<3,2333,"k-pop, k-pop girl group, pop"
NADIE SABE,Bad Bunny,nadie sabe lo que va a pasar mañana,7026,"reggaeton, trap latino, urbano latino"
THUNDER Y LIGHTNING,Bad Bunny,nadie sabe lo que va a pasar mañana,32700,"reggaeton, trap latino, urbano latino"
sol & prada,Young Cister,PLANES DE MEDIANOCHE,1672,"trap chileno, urbano chileno"
CON LOS AROS 22,Young Cister,PLANES DE MEDIANOCHE,1142,"trap chileno, urbano chileno"
Somebody To Love Remix,Justin Bieber,Never Say Never - The Remixes,341608,"canadian pop, pop"
Love Me,Justin Bieber,My World,191573,"canadian pop, pop"
humoOo,Young Cister,PLANES DE MEDIANOCHE,178831,"trap chileno, urbano chileno"
MR. OCTOBER,Bad Bunny,nadie sabe lo que va a pasar mañana,189258,"reggaeton, trap latino, urbano latino"
CYBERTRUCK,Bad Bunny,nadie sabe lo que va a pasar mañana,191959,"reggaeton, trap latino, urbano latino"
VOU 787,Bad Bunny,nadie sabe lo que va a pasar mañana,123643,"reggaeton, trap latino, urbano latino"
SEDA,Bad Bunny,nadie sabe lo que va a pasar mañana,190476,"reggaeton, trap latino, urbano latino"
GRACIAS POR NADA,Bad Bunny,nadie sabe lo que va a pasar mañana,177450,"reggaeton, trap latino, urbano latino"
TELEFONO NUEVO,Bad Bunny,nadie sabe lo que va a pasar mañana,305650,"reggaeton, trap latino, urbano latino"
TE DESEO LO MEJOR,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,27498,"reggaeton, trap latino, urbano latino"
BABY NUEVA,Bad Bunny,nadie sabe lo que va a pasar mañana,240773,"reggaeton, trap latino, urbano latino"
ONE SPARK,TWICE,With YOU-th,218998,"k-pop, k-pop girl group, pop"
COMFLEX,Stray Kids,ROCK-STAR,172320,"k-pop, k-pop boy group, pop"
Cover Me,Stray Kids,ROCK-STAR,31107,"k-pop, k-pop boy group, pop"
Leave,Stray Kids,ROCK-STAR,18,"k-pop, k-pop boy group, pop"
Hero's Soup,Stray Kids,I am YOU,212481,"k-pop, k-pop boy group, pop"
Tinnitus (Wanna be a rock),TOMORROW X TOGETHER,The Name Chapter: TEMPTATION,157261,"k-pop, k-pop boy group"
HASTA LA LUNA,Young Cister,PLANES DE MEDIANOCHE,9198,"trap chileno, urbano chileno"
Hennessy,Young Cister,PLANES DE MEDIANOCHE,572,"trap chileno, urbano chileno"
El Ritmo No Perdona - Bonus Track (Bonus Track),Daddy Yankee,Mundial (Deluxe Version),0,"latin hip hop, reggaeton, trap latino, urbano latino"
Impacto (Remix) [feat. Fergie] (Remix),Daddy Yankee,El Cartel: The Big Boss,207586,"latin hip hop, reggaeton, trap latino, urbano latino"
I GOT YOU (Original),TWICE,I GOT YOU (Voyage ver.),2120,"k-pop, k-pop girl group, pop"
BATICANO,Bad Bunny,nadie sabe lo que va a pasar mañana,256000,"reggaeton, trap latino, urbano latino"
MEGAVERSE,Stray Kids,ROCK-STAR,185520,"k-pop, k-pop boy group, pop"
Happily Ever After,TOMORROW X TOGETHER,The Name Chapter: FREEFALL,28299,"k-pop, k-pop boy group"
WHY?,Stray Kids,WHY?,228266,"k-pop, k-pop boy group, pop"
Lose My Breath (Feat. Charlie Puth),Stray Kids,Lose My Breath (Feat. Charlie Puth),166913,"k-pop, k-pop boy group, pop"
I’ll See You There Tomorrow,TOMORROW X TOGETHER,minisode 3: TOMORROW,196693,"k-pop, k-pop boy group"
Chasing That Feeling,TOMORROW X TOGETHER,The Name Chapter: FREEFALL,11631,"k-pop, k-pop boy group"
Impacto,Daddy Yankee,El Cartel: The Big Boss,280160,"latin hip hop, reggaeton, trap latino, urbano latino"
REGALONA,Young Cister,REGALONA,22932,"trap chileno, urbano chileno"
Gone,TWICE,BETWEEN 1&2,2340,"k-pop, k-pop girl group, pop"
Sábado Rebelde,Daddy Yankee,Sábado Rebelde,5612,"latin hip hop, reggaeton, trap latino, urbano latino"
DLMLU,Stray Kids,THE SOUND,194760,"k-pop, k-pop boy group, pop"
Novel,Stray Kids,THE SOUND,188853,"k-pop, k-pop boy group, pop"
CASE 143 -Japanese ver.-,Stray Kids,THE SOUND,20793,"k-pop, k-pop boy group, pop"
Hall of Fame,Stray Kids,5-STAR,171026,"k-pop, k-pop boy group, pop"
S-Class,Stray Kids,5-STAR,195688,"k-pop, k-pop boy group, pop"
Super Bowl,Stray Kids,5-STAR,211651,"k-pop, k-pop boy group, pop"
TOPLINE (Feat. Tiger JK),Stray Kids,5-STAR,203546,"k-pop, k-pop boy group, pop"
Collision,Stray Kids,5-STAR,60003,"k-pop, k-pop boy group, pop"
Catch a Wave,TWICE,Hare Hare,12260,"k-pop, k-pop girl group, pop"
FNF,Stray Kids,5-STAR,171680,"k-pop, k-pop boy group, pop"
Youtiful,Stray Kids,5-STAR,209280,"k-pop, k-pop boy group, pop"
THE SOUND (Korean Ver.),Stray Kids,5-STAR,47540,"k-pop, k-pop boy group, pop"
Hare Hare - Instrumental,TWICE,Hare Hare,10116,"k-pop, k-pop girl group, pop"
君じゃない誰かの愛し方 (Ring),TOMORROW X TOGETHER,君じゃない誰かの愛し方 (Ring),1850,"k-pop, k-pop boy group"
There,Stray Kids,THE SOUND,1240,"k-pop, k-pop boy group, pop"
Free Falling,TOMORROW X TOGETHER,Free Falling,23869,"k-pop, k-pop boy group"
Devil by the Window,TOMORROW X TOGETHER,The Name Chapter: TEMPTATION,186471,"k-pop, k-pop boy group"
"Farewell, Neverland",TOMORROW X TOGETHER,The Name Chapter: TEMPTATION,180676,"k-pop, k-pop boy group"
DEBI LLEVARTE FLORES,Young Cister,THE LIFE OF XULO,200572,"trap chileno, urbano chileno"
